"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Uzbekistan","2017","Total","Male","54","Estimate - de jure","Final figure, complete","2019","150538","1"
"Uzbekistan","2017","Total","Male","55","Estimate - de jure","Final figure, complete","2019","149993","1"
"Uzbekistan","2017","Total","Male","55 - 59","Estimate - de jure","Final figure, complete","2019","683970","1"
"Uzbekistan","2017","Total","Male","56","Estimate - de jure","Final figure, complete","2019","145964","1"
"Uzbekistan","2017","Total","Male","57","Estimate - de jure","Final figure, complete","2019","137152","1"
"Uzbekistan","2017","Total","Male","58","Estimate - de jure","Final figure, complete","2019","130411","1"
"Uzbekistan","2017","Total","Male","59","Estimate - de jure","Final figure, complete","2019","120450","1"
"Uzbekistan","2017","Total","Male","60","Estimate - de jure","Final figure, complete","2019","108713","1"
"Uzbekistan","2017","Total","Male","60 - 64","Estimate - de jure","Final figure, complete","2019","450708","1"
"Uzbekistan","2017","Total","Male","61","Estimate - de jure","Final figure, complete","2019","98900","1"
"Uzbekistan","2017","Total","Male","62","Estimate - de jure","Final figure, complete","2019","88646","1"
"Uzbekistan","2017","Total","Male","63","Estimate - de jure","Final figure, complete","2019","79416","1"
"Uzbekistan","2017","Total","Male","64","Estimate - de jure","Final figure, complete","2019","75033","1"
"Uzbekistan","2017","Total","Male","65","Estimate - de jure","Final figure, complete","2019","69808","1"
"Uzbekistan","2017","Total","Male","65 - 69","Estimate - de jure","Final figure, complete","2019","272502","1"
"Uzbekistan","2017","Total","Male","66","Estimate - de jure","Final figure, complete","2019","63841","1"
"Uzbekistan","2017","Total","Male","67","Estimate - de jure","Final figure, complete","2019","55245","1"
"Uzbekistan","2017","Total","Male","68","Estimate - de jure","Final figure, complete","2019","44027","1"
"Uzbekistan","2017","Total","Male","69","Estimate - de jure","Final figure, complete","2019","39581","1"
"Uzbekistan","2017","Total","Male","70","Estimate - de jure","Final figure, complete","2019","35066","1"
"Uzbekistan","2017","Total","Male","70 - 74","Estimate - de jure","Final figure, complete","2019","123562","1"
"Uzbekistan","2017","Total","Male","71","Estimate - de jure","Final figure, complete","2019","26931","1"
"Uzbekistan","2017","Total","Male","72","Estimate - de jure","Final figure, complete","2019","20011","1"
"Uzbekistan","2017","Total","Male","73","Estimate - de jure","Final figure, complete","2019","18270","1"
"Uzbekistan","2017","Total","Male","74","Estimate - de jure","Final figure, complete","2019","23284","1"
"Uzbekistan","2017","Total","Male","75","Estimate - de jure","Final figure, complete","2019","27779","1"
"Uzbekistan","2017","Total","Male","75 - 79","Estimate - de jure","Final figure, complete","2019","120601","1"
"Uzbekistan","2017","Total","Male","76","Estimate - de jure","Final figure, complete","2019","26217","1"
"Uzbekistan","2017","Total","Male","77","Estimate - de jure","Final figure, complete","2019","24857","1"
"Uzbekistan","2017","Total","Male","78","Estimate - de jure","Final figure, complete","2019","22958","1"
"Uzbekistan","2017","Total","Male","79","Estimate - de jure","Final figure, complete","2019","18790","1"
"Uzbekistan","2017","Total","Male","80","Estimate - de jure","Final figure, complete","2019","17060","1"
"Uzbekistan","2017","Total","Male","80 - 84","Estimate - de jure","Final figure, complete","2019","58299","1"
"Uzbekistan","2017","Total","Male","81","Estimate - de jure","Final figure, complete","2019","14417","1"
"Uzbekistan","2017","Total","Male","82","Estimate - de jure","Final figure, complete","2019","11197","1"
"Uzbekistan","2017","Total","Male","83","Estimate - de jure","Final figure, complete","2019","8405","1"
"Uzbekistan","2017","Total","Male","84","Estimate - de jure","Final figure, complete","2019","7220","1"
"Uzbekistan","2017","Total","Male","85 +","Estimate - de jure","Final figure, complete","2019","47225","1"
"Uzbekistan","2017","Total","Female","Total","Estimate - de jure","Final figure, complete","2019","16129138","1"
"Uzbekistan","2017","Total","Female","0","Estimate - de jure","Final figure, complete","2019","332716","1"
"Uzbekistan","2017","Total","Female","0 - 4","Estimate - de jure","Final figure, complete","2019","1649125","1"
"Uzbekistan","2017","Total","Female","1","Estimate - de jure","Final figure, complete","2019","340678","1"
"Uzbekistan","2017","Total","Female","1 - 4","Estimate - de jure","Final figure, complete","2019","1316409","1"
"Uzbekistan","2017","Total","Female","2","Estimate - de jure","Final figure, complete","2019","338906","1"
"Uzbekistan","2017","Total","Female","3","Estimate - de jure","Final figure, complete","2019","326332","1"
"Uzbekistan","2017","Total","Female","4","Estimate - de jure","Final figure, complete","2019","310493","1"
"Uzbekistan","2017","Total","Female","5","Estimate - de jure","Final figure, complete","2019","301160","1"
"Uzbekistan","2017","Total","Female","5 - 9","Estimate - de jure","Final figure, complete","2019","1529712","1"
"Uzbekistan","2017","Total","Female","6","Estimate - de jure","Final figure, complete","2019","302526","1"
"Uzbekistan","2017","Total","Female","7","Estimate - de jure","Final figure, complete","2019","310590","1"
"Uzbekistan","2017","Total","Female","8","Estimate - de jure","Final figure, complete","2019","313091","1"
"Uzbekistan","2017","Total","Female","9","Estimate - de jure","Final figure, complete","2019","302345","1"
"Uzbekistan","2017","Total","Female","10","Estimate - de jure","Final figure, complete","2019","279349","1"
"Uzbekistan","2017","Total","Female","10 - 14","Estimate - de jure","Final figure, complete","2019","1293398","1"
"Uzbekistan","2017","Total","Female","11","Estimate - de jure","Final figure, complete","2019","260204","1"
"Uzbekistan","2017","Total","Female","12","Estimate - de jure","Final figure, complete","2019","256335","1"
"Uzbekistan","2017","Total","Female","13","Estimate - de jure","Final figure, complete","2019","250019","1"
"Uzbekistan","2017","Total","Female","14","Estimate - de jure","Final figure, complete","2019","247491","1"
"Uzbekistan","2017","Total","Female","15","Estimate - de jure","Final figure, complete","2019","248605","1"
"Uzbekistan","2017","Total","Female","15 - 19","Estimate - de jure","Final figure, complete","2019","1281997","1"
"Uzbekistan","2017","Total","Female","16","Estimate - de jure","Final figure, complete","2019","247143","1"
"Uzbekistan","2017","Total","Female","17","Estimate - de jure","Final figure, complete","2019","254263","1"
"Uzbekistan","2017","Total","Female","18","Estimate - de jure","Final figure, complete","2019","259294","1"
"Uzbekistan","2017","Total","Female","19","Estimate - de jure","Final figure, complete","2019","272692","1"
"Uzbekistan","2017","Total","Female","20","Estimate - de jure","Final figure, complete","2019","291279","1"
"Uzbekistan","2017","Total","Female","20 - 24","Estimate - de jure","Final figure, complete","2019","1534331","1"
"Uzbekistan","2017","Total","Female","21","Estimate - de jure","Final figure, complete","2019","306370","1"
"Uzbekistan","2017","Total","Female","22","Estimate - de jure","Final figure, complete","2019","309261","1"
"Uzbekistan","2017","Total","Female","23","Estimate - de jure","Final figure, complete","2019","308986","1"
"Uzbekistan","2017","Total","Female","24","Estimate - de jure","Final figure, complete","2019","318435","1"
"Uzbekistan","2017","Total","Female","25","Estimate - de jure","Final figure, complete","2019","326359","1"
"Uzbekistan","2017","Total","Female","25 - 29","Estimate - de jure","Final figure, complete","2019","1560702","1"
"Uzbekistan","2017","Total","Female","26","Estimate - de jure","Final figure, complete","2019","321186","1"
"Uzbekistan","2017","Total","Female","27","Estimate - de jure","Final figure, complete","2019","305092","1"
"Uzbekistan","2017","Total","Female","28","Estimate - de jure","Final figure, complete","2019","301616","1"
"Uzbekistan","2017","Total","Female","29","Estimate - de jure","Final figure, complete","2019","306449","1"
"Uzbekistan","2017","Total","Female","30","Estimate - de jure","Final figure, complete","2019","306231","1"
"Uzbekistan","2017","Total","Female","30 - 34","Estimate - de jure","Final figure, complete","2019","1409377","1"
"Uzbekistan","2017","Total","Female","31","Estimate - de jure","Final figure, complete","2019","299194","1"
"Uzbekistan","2017","Total","Female","32","Estimate - de jure","Final figure, complete","2019","284166","1"
"Uzbekistan","2017","Total","Female","33","Estimate - de jure","Final figure, complete","2019","266815","1"
"Uzbekistan","2017","Total","Female","34","Estimate - de jure","Final figure, complete","2019","252971","1"
"Uzbekistan","2017","Total","Female","35","Estimate - de jure","Final figure, complete","2019","243321","1"
"Uzbekistan","2017","Total","Female","35 - 39","Estimate - de jure","Final figure, complete","2019","1134031","1"
"Uzbekistan","2017","Total","Female","36","Estimate - de jure","Final figure, complete","2019","234135","1"
"Uzbekistan","2017","Total","Female","37","Estimate - de jure","Final figure, complete","2019","226914","1"
"Uzbekistan","2017","Total","Female","38","Estimate - de jure","Final figure, complete","2019","220010","1"
"Uzbekistan","2017","Total","Female","39","Estimate - de jure","Final figure, complete","2019","209651","1"
"Uzbekistan","2017","Total","Female","40","Estimate - de jure","Final figure, complete","2019","208378","1"
"Uzbekistan","2017","Total","Female","40 - 44","Estimate - de jure","Final figure, complete","2019","996541","1"
"Uzbekistan","2017","Total","Female","41","Estimate - de jure","Final figure, complete","2019","206407","1"
"Uzbekistan","2017","Total","Female","42","Estimate - de jure","Final figure, complete","2019","196935","1"
"Uzbekistan","2017","Total","Female","43","Estimate - de jure","Final figure, complete","2019","192735","1"
"Uzbekistan","2017","Total","Female","44","Estimate - de jure","Final figure, complete","2019","192086","1"
"Uzbekistan","2017","Total","Female","45","Estimate - de jure","Final figure, complete","2019","191858","1"
"Uzbekistan","2017","Total","Female","45 - 49","Estimate - de jure","Final figure, complete","2019","890399","1"
"Uzbekistan","2017","Total","Female","46","Estimate - de jure","Final figure, complete","2019","187238","1"
"Uzbekistan","2017","Total","Female","47","Estimate - de jure","Final figure, complete","2019","173977","1"
"Uzbekistan","2017","Total","Female","48","Estimate - de jure","Final figure, complete","2019","169668","1"
"Uzbekistan","2017","Total","Female","49","Estimate - de jure","Final figure, complete","2019","167658","1"
"Uzbekistan","2017","Total","Female","50","Estimate - de jure","Final figure, complete","2019","164376","1"
"Uzbekistan","2017","Total","Female","50 - 54","Estimate - de jure","Final figure, complete","2019","824505","1"
"Uzbekistan","2017","Total","Female","51","Estimate - de jure","Final figure, complete","2019","167213","1"
"Uzbekistan","2017","Total","Female","52","Estimate - de jure","Final figure, complete","2019","165956","1"
"Uzbekistan","2017","Total","Female","53","Estimate - de jure","Final figure, complete","2019","164167","1"
"Uzbekistan","2017","Total","Female","54","Estimate - de jure","Final figure, complete","2019","162793","1"
"Uzbekistan","2017","Total","Female","55","Estimate - de jure","Final figure, complete","2019","161251","1"
"Uzbekistan","2017","Total","Female","55 - 59","Estimate - de jure","Final figure, complete","2019","737370","1"
"Uzbekistan","2017","Total","Female","56","Estimate - de jure","Final figure, complete","2019","156782","1"
"Uzbekistan","2017","Total","Female","57","Estimate - de jure","Final figure, complete","2019","148262","1"
"Uzbekistan","2017","Total","Female","58","Estimate - de jure","Final figure, complete","2019","140691","1"
"Uzbekistan","2017","Total","Female","59","Estimate - de jure","Final figure, complete","2019","130384","1"
